id,name,internalCode,quantity,model,size,principalCode,image_url
82,PANALES PARA BEBE HUGGIES ACTIVE SEC TALLA M PAQUETE 64 UNID,717431001,64,5,3,x2000068,x2000068
83,PANALES PARA BEBE HUGGIES ACTIVE SEC TALLA G PAQUETE 58 UNID,717431002,58,5,4,x2000069,x2000069
84,PANALES PARA BEBE HUGGIES ACTIVE SEC TALLA XG PAQUETE 48 UNID,717431003,48,5,5,x2000070,x2000070
85,PANALES PARA BEBE HUGGIES ACTIVE SEC TALLA XXG PAQUETE 44 UNID,717431004,44,5,6,x2000071,x2000071
86,PANALES PARA BEBE HUGGIES NATURAL CARE NINAS TALLA XXG PAQUETE 38 UNID,727565002,38,12,6,x2000073,x2000073
87,PANALES PARA BEBE HUGGIES ACTIVE SEC AJUSTE PERFECTO TALLA G PAQUETE 28 UNID,727567002,28,7,4,x2000076,x2000076
88,PANALES PARA BEBE HUGGIES ACTIVE SEC AJUSTE PERFECTO TALLA XG PAQUETE 22 UNID,727569001,22,7,5,x2000077,x2000077
89,PANALES PARA BEBE HUGGIES ACTIVE SEC AJUSTE PERFECTO TALLA XXG PAQUETE 20 UNID,727569002,20,7,6,x2000078,x2000078
90,PANALES PARA BEBE HUGGIES ACTIVE SEC TALLA M PAQUETE 128 UNID,732128002,128,5,3,x2000080,x2000080
91,PANALES PARA BEBE HUGGIES ACTIVE SEC TALLA XG PAQUETE 96 UNID,732128003,96,5,5,x2000081,x2000081
92,PANALES PARA BEBE HUGGIES ACTIVE SEC AHORRA PACK TALLA XG PAQUETE 96UN,20159743,96,5,5,x2000081,x2000081
93,PANALES PARA BEBE HUGGIES NATURAL CARE UNISEX TALLA G PAQUETE 52 UNID,752967001,52,12,4,x2000083,x2000083
94,PANALES PARA BEBE HUGGIES NATURAL CARE UNISEX TALLA M PAQUETE 58 UNID,752967002,58,12,3,x2000084,x2000084
95,PANALES PARA BEBE HUGGIES NATURAL CARE UNISEX TALLA XG PAQUETE 42 UNID,752967003,42,12,5,x2000085,x2000085
96,PANALES HUGGIES NATURAL CARE COTTO TALLA XXG PAQUETE 38 UNIDADES,752967004,38,12,6,x2000086,x2000086
97,PANALES PARA BEBE HUGGIES NATURAL CARE NINA TALLA G MEGAPACK PAQUETE 112UN,20130556,112,12,4,x2000087,x2000087
98,PANALES PARA BEBE HUGGIES NATURAL CARE NINAS TALLA M PAQUETE 60 UNID,535137001,60,12,3,x2000088,x2000088
99,PANALES PARA BEBE HUGGIES NATURAL CARE NINOS TALLA M PAQUETE 60 UNID,535138001,60,12,3,x2000088,x2000088
100,PANALES PARA BEBE PAMPERS PREMIUM CARE TALLA M PAQUETE 40 UNID,570586002,40,14,3,x2000089,x2000089
101,PANALES PARA BEBE PAMPERS PREMIUM CARE TALLA M PAQUETE 40UN,20129413,40,14,3,x2000089,x2000089
102,PANALES PARA BEBE HUGGIES LITTLE SWIMMERS TALLA M PAQUETE 11UN,20071393,11,8,3,x2000090,x2000090
103,PANALES PARA BEBE HUGGIES NATURAL CARE AJUSTE PERFECTO NINA TALLA G PAQUETE 50UN,20110694,50,11,4,x2000091,x2000091
104,PANALES PARA BEBE BABYSEC SUPER PREMIUM CUIDADO TOTAL TALLA G PAQUETE 56UN,20144828,56,3,4,x2000092,x2000092
105,PANALES PARA BEBE BABYSEC PREMIUM RN PAQUETE 20 UNID,402158,20,2,1,x2000093,x2000093
106,PANALES PARA BEBE PAMPERS RECIEN NACIDO PAQUETE 20UN,963081,20,14,1,x2000094,x2000094
107,PANALES PARA BEBE HUGGIES NATURAL CARE PRIMEROS 100 DIAS TALLA RN PAQUETE 20 UNID,534671,20,9,1,x2000095,x2000095
108,PANALES PARA BEBE HUGGIES NATURAL CARE AJUSTE PERFECTO NINOS TALLA G PAQUETE 50 UNID,535140002,50,12,4,x2000096,x2000096
109,PANALES PARA BEBE PAMPERS RECIEN NACIDO TALLA RN PAQUETE 36 UNID,735459,36,14,1,x2000097,x2000097
110,PANALES PARA BEBE PAMPERS PREMIUM CARE TALLA G MEGAPACK PAQUETE 72UN,20138538,72,14,4,x2000098,x2000098
111,PANALES PARA BEBE BAMBO NATURE TALLA M PAQUETE 33UN,20160924,33,19,3,x2000099,x2000099
112,PANALES PARA BEBE BAMBO NATURE TALLA G PAQUETE 30UN,20160923,30,19,4,x2000100,x2000100
113,PANALES PARA BEBE BABYSEC PREMIUN TALLA G PAQUETE 128UN,20172909,128,2,4,x2000101,x2000101
114,PANALES PARA BEBE PAMPERS PREMIUN CARE SUPERMEGAPACK TALLA XXG PAQUETE 68 UND,755988,68,14,6,x2000102,x2000102
115,PANALES PARA BEBE PAMPERS PREMIUN CARE SUPERMEGAPACK TALLA XG PAQUETE 68 UND,755987,68,14,5,x2000103,x2000103
116,PANALES PARA BEBE PAMPERS PREMIUN CARE SUPERMEGAPACK TALLA G PAQUETE 86 UND,755986,86,14,4,x2000104,x2000104
117,PANALES PARA BEBE PAMPERS CONFORT SEC TALLA XXG PAQUETE 44UN,20168839,44,13,6,x2000013,x2000013
118,PANALES PARA BEBE PAMPERS PREMIUM CARE RECIEN NACIDO PAQUETE 36UN,20168838,36,14,2,x2000014,x2000014
